,MILAN,DnD,NetDissect
grand piano,0.007472201,0.4943367,0.17213361
greenhouse,0.10597296,0.51855546,0.74063253
grille,0.13001586,0.22446656,0.28928486
grocery store,0.1576455,0.2877532,0.49157038
guillotine,-0.15752967,-0.14922717,0.0074301744
hair slide,-0.18546936,-0.05365272,-0.084396176
hair spray,0.17318851,0.38456938,0.23961757
half track,0.27577534,0.24532643,0.15909699
hammer,0.1220111,0.14604059,0.22095966
hamper,0.18592882,0.21283694,0.2774165
hand blower,-0.019831104,0.120701574,0.106440894
hand-held computer,0.37078544,0.5317242,0.28412127
handkerchief,0.111422956,0.19717456,0.002322393
hard disc,0.23588605,0.50599706,-0.06785654
harmonica,-0.078709915,0.08128164,0.23781963
harp,0.09001993,0.22026712,0.16837102
harvester,0.09901461,0.17894928,0.2124693
hatchet,-0.05795388,0.17059065,0.016224613
holster,0.13690571,0.2999228,0.18256249
home theater,0.013714692,0.32402647,1.0
honeycomb,0.044771403,-0.103465155,0.5354942
hook,0.14218901,0.24000181,0.19403
hoopskirt,0.36174592,0.275015,0.194303
horizontal bar,0.20119001,0.14230978,-0.01702276
horse cart,0.07381756,0.5059314,0.6505826
hourglass,-0.1358056,0.03220731,0.15704335
iPod,0.08125162,0.23169403,0.13100684
iron,0.018612342,0.13982318,-0.20770374
jack-o'-lantern,0.78410006,0.21425207,0.050013386
jean,0.018391969,0.033381224,0.08832722
jeep,0.10062432,0.13698481,0.21068867
jersey,0.06946872,-0.059521917,0.15954304
jigsaw puzzle,0.16333564,0.46153465,0.2184494
jinrikisha,-0.014741687,-0.15140583,-0.11034793
joystick,0.005551353,0.07764231,0.26109123
kimono,0.10980582,0.57170177,0.1616394
knee pad,0.16927512,0.70754766,0.052265145
knot,0.035710324,0.30687937,0.33596793
lab coat,0.086756706,0.24119514,0.010493148
ladle,-0.10862273,-0.052073024,0.19941609
lampshade,0.09717357,0.29994857,0.29678988
laptop,0.039549902,0.37246263,0.18565547
lawn mower,0.17871372,0.75724775,0.30503306
lens cap,0.22060086,0.22237585,0.03795467
letter opener,0.060531255,0.05064519,0.07999154
library,0.29300612,0.35988262,0.37163657
lifeboat,0.4082464,0.22893937,0.5046155
lighter,0.01497654,0.26268187,0.27406216
limousine,0.166548,-0.005056926,0.06492918
liner,0.48574778,-0.03234999,0.43441075
lipstick,-0.04992368,0.6936256,0.09129519
Loafer,0.09930526,0.017175326,0.12944163
lotion,-0.0509927,0.08078615,0.20999788
loudspeaker,0.10938697,0.29282814,0.21127138
loupe,0.11246443,0.123943955,0.18583241
lumbermill,-0.014917915,0.17873597,0.22162397
magnetic compass,0.28312996,0.42182267,0.061190255
mailbag,0.025497233,0.12191539,0.12074855
mailbox,-0.10842638,0.11974415,-0.09200152
maillot,0.13389924,0.035421085,0.23429507
maillot,0.12273579,0.14362073,0.23429507
manhole cover,0.7912883,0.9271049,0.16662216
maraca,0.063922666,-0.07855735,0.12568575
marimba,0.120893344,0.1546641,0.09736605
mask,0.32025328,0.24892092,0.13778791
matchstick,0.06032642,0.13562833,-0.014890368
maypole,0.05118129,0.1168447,0.21924931
maze,0.37853843,0.60511196,0.22281553
measuring cup,0.10031636,0.59426284,0.27248636
medicine chest,-0.062822215,0.055113398,0.12358585
megalith,0.10792453,0.036193803,0.14500089
microphone,0.3316724,0.7239107,0.2385821
microwave,-0.07469764,0.029774379,0.15979803
military uniform,0.19809349,0.66436297,0.1636436
milk can,-0.042299975,0.057384934,0.140016
minibus,0.0809419,-0.05826925,0.26205465
miniskirt,0.22091553,0.0002479197,-0.11856071
minivan,0.29798782,0.13997893,0.26007518
missile,0.04177694,0.25619924,0.08412636
mitten,0.2455129,0.30350456,0.38920814
mixing bowl,-0.0051709977,0.056443404,0.15912913
mobile home,-0.065801494,0.4086197,0.4219579
Model T,0.25959134,0.21383499,0.1998607
modem,0.16493194,0.022197995,0.18346058
monastery,0.29105702,0.181402,0.35110798
monitor,0.33302537,0.24646325,0.41096717
moped,0.12460437,0.45721337,0.63980836
mortar,0.01984735,0.34642965,0.1083621
mortarboard,0.01407633,0.02733968,0.03840813
mosque,0.5541599,0.36108267,0.5975843
mosquito net,0.10799834,-0.030846931,0.13396281
motor scooter,0.06902939,0.25207642,0.759484
mountain bike,0.076697595,0.36456555,0.32653284
mountain tent,0.12115575,0.6275946,0.4686219
mouse,0.246726,0.302871,0.4202041
mousetrap,0.026469842,0.1470397,0.09645348
moving van,0.054677594,0.11600947,0.12128536
muzzle,0.21723239,0.2553866,0.33287916
nail,0.24440503,0.18077761,0.19481191
neck brace,0.054341033,0.22414096,0.029261941
necklace,0.16871041,0.70089126,0.26896638
nipple,0.18102977,0.22965628,0.39025635
notebook,0.41527468,0.32203427,0.55681103
obelisk,-0.2504978,-0.1664576,-0.12650543
oboe,-0.019893613,0.019219426,0.1399655
ocarina,-0.3406353,-0.3905876,-0.3830137
odometer,0.05452044,-0.018600333,-0.30813628
oil filter,0.22311679,0.05504347,0.13606447
organ,-0.030149437,0.016124316,0.1966646
oscilloscope,-0.047596697,-0.035810623,0.10872762
overskirt,0.17339158,0.11946481,0.09594528
oxcart,-0.1752418,-0.046977606,-0.052372508
oxygen mask,0.059128497,0.3514336,0.12623881
packet,0.27482465,0.40512657,0.31006348
paddle,0.2666175,0.13321835,0.4686099
paddlewheel,0.24556057,0.11292107,0.22693516
padlock,0.0034348532,0.04787605,0.103783004
paintbrush,0.08666383,0.5983086,0.24382867
pajama,0.2740657,0.11001525,0.1311082
palace,0.2824533,0.24700749,0.3094158
panpipe,0.051041085,0.26435515,0.18020372
paper towel,0.008270347,0.23444234,0.3096005
parachute,-0.030090813,0.032804508,0.18609658
parallel bars,0.21080838,0.026194377,0.048341516
park bench,0.25056913,0.16750084,0.66977376
parking meter,0.06485537,0.9186612,-0.07038553
passenger car,0.25985762,0.325307,0.30981627
patio,0.28623423,0.18679619,0.24499021
pay-phone,0.1417684,0.37092882,0.23670857
pedestal,0.013319151,0.11699197,-0.029406032
pencil box,0.20450798,0.3842773,0.34478813
pencil sharpener,-0.02369399,0.3120253,0.06756554
perfume,0.09127471,0.10805803,0.16082501
Petri dish,0.15972598,0.15871805,0.23184942
photocopier,-0.07605802,0.27232212,0.14305708
pick,0.17792794,0.069039635,0.081263274
pickelhaube,-0.25255814,-0.15586379,-0.17536788
picket fence,0.22315316,0.43552038,-0.09640933
pickup,0.41297558,0.16294575,0.3686347
pier,0.31361455,0.150364,0.3933624
piggy bank,-0.10044067,0.1440477,0.18049473
pill bottle,-0.03574246,0.22375318,0.42744747
pillow,0.07026051,0.31940922,0.012914427
ping-pong ball,0.15248333,-0.035459228,-0.20862795
pinwheel,0.14407137,0.32623443,0.2376727
pirate,0.35833013,0.21605071,0.41571155
pitcher,0.10156161,0.006220595,0.28933075
plane,-0.12931626,0.04962067,0.061588973
planetarium,0.25816882,0.13721791,0.66659606
plastic bag,0.2801231,0.013742238,0.35488644
plate rack,0.15958011,0.2341584,0.27721697
plow,0.1649118,0.1961564,0.3056511
plunger,0.011097055,-0.10949998,0.1292149
Polaroid camera,0.1734834,0.2642591,0.1177721
pole,-0.03531443,0.26557463,0.18001936
police van,0.29898196,0.57132494,0.375521
poncho,0.28141004,0.47339666,0.18247384
pool table,0.24429166,0.27859536,0.14783995
pop bottle,0.14397636,0.2601052,0.49128643
pot,0.031932905,0.023370493,0.19489208
potter's wheel,0.068098105,0.16268583,0.21693504
power drill,0.16986878,0.37534866,0.20040034
prayer rug,0.15911995,0.4239381,0.12232754
printer,-0.13061202,0.64412504,0.18201296
prison,0.08759158,0.15773661,0.43441075
projectile,0.14621824,0.10676051,0.21025638
projector,0.19370651,0.5204382,0.31521648
puck,-0.08536949,0.052294105,-0.013491847
punching bag,0.11264242,0.4179686,0.27501288
purse,0.11212822,0.28995657,0.12790678
quill,0.2055286,0.1625315,0.18379007
quilt,0.23486648,0.1793925,0.21462217
racer,0.39501977,0.24748673,0.31454405
racket,0.21811141,0.27698138,0.22246732
radiator,0.28443488,-0.001652798,0.35372385
radio,-0.052531075,-0.048888564,-0.17226641
radio telescope,0.10541461,0.28311935,0.22408056
rain barrel,-0.090514354,-0.043746527,-0.06536498
recreational vehicle,0.4180099,0.12200898,0.19151902
reel,0.08820644,0.335221,0.40668613
reflex camera,0.14594771,0.32503897,0.20352124
refrigerator,0.13202113,0.6918351,0.46841532
remote control,0.067090176,0.47408357,0.02001616
restaurant,-0.017643265,0.71577877,0.14288756
revolver,0.09423986,0.88007116,0.17926113
rifle,-0.077359065,0.25391746,0.26799026
rocking chair,0.11295815,0.90022576,0.22559562
rotisserie,-0.15559186,-0.11488994,0.11564712
rubber eraser,0.029362593,0.11884041,0.12088946
rugby ball,0.0075767366,0.44383982,0.036017224
rule,0.063059896,0.1276405,0.24447425
running shoe,0.13329004,0.40230903,0.4332291
safe,0.09006478,0.0899387,0.2947857
safety pin,0.05462003,0.05393207,0.11150524
saltshaker,-0.16178173,-0.17087318,-0.027187115
sandal,0.04016546,0.23918106,0.33188856
sarong,-0.05407616,0.057494767,0.18804038
sax,0.11073182,0.3509388,0.18725178
scabbard,0.1928282,0.341455,0.14941612
scale,-0.05238416,0.21856523,0.17306067
school bus,0.20537215,0.6124369,0.54742014
schooner,0.21076848,0.12878051,0.39678523
scoreboard,0.09661204,0.2320719,0.29306617
screen,-0.02108165,0.34403768,0.10944737
screw,0.25018418,0.37760255,-0.10174631
screwdriver,0.016695732,0.27122098,-0.0072910287
seat belt,0.12644434,0.27313545,0.25130263
sewing machine,0.03619098,0.6927357,0.26709923
shield,0.15211992,0.3078686,0.40096316
shoe shop,0.16739595,0.6876201,1.0
shoji,0.1629454,0.038191993,0.315843
shopping basket,0.1295949,0.61181533,0.40089145
shopping cart,0.067240626,0.5353614,0.09016861
shovel,-0.015424702,0.1906054,0.19015335
shower cap,0.18557037,0.016620861,0.2730016
shower curtain,0.09270855,0.40552813,0.36912876
ski,0.002531818,0.24425812,0.057335846
ski mask,0.17430167,0.2453388,0.053038217
sleeping bag,0.40017948,0.3942022,0.37522966
slide rule,0.17814831,0.22370197,-0.02224426
sliding door,0.058610052,0.066964455,0.14545858
slot,0.17949775,0.20109855,0.18090616
snorkel,0.12366496,0.08545072,0.11908869
snowmobile,0.18796128,0.535728,0.0914912
snowplow,0.10737713,0.38398135,0.19639549
soap dispenser,0.093996175,0.28500947,0.29334798
soccer ball,0.051697966,0.44871205,0.005711335
sock,0.21669842,0.5844456,0.23748976
solar dish,0.28816178,0.6522135,0.37861964
sombrero,0.00963885,0.2723186,-0.019050969
soup bowl,0.33171692,0.5665057,0.3161082
space bar,-0.010507981,0.10310493,0.3119469
space heater,0.04042327,0.18235835,0.044211995
space shuttle,0.10775254,0.25877202,0.073780835
spatula,0.05682588,0.11338265,0.2304735
speedboat,0.24877329,0.363659,0.39217365
spider web,0.11304785,0.35273322,0.23272844
spindle,-0.03227759,0.30787495,0.41005036
sports car,0.2637816,0.49175686,0.17989787
spotlight,0.25094065,0.33291554,0.30131283
stage,0.20927672,0.328073,0.21988429
steam locomotive,0.16786423,0.45779327,0.18018712
steel arch bridge,-0.06478792,0.23750883,0.1418648
steel drum,0.09009515,0.5402417,0.181883
stethoscope,0.10824132,0.165408,0.2482877
stole,0.029566366,-0.08958024,-0.056531694
stone wall,0.30984205,0.57224315,0.3694251
stopwatch,-0.05599383,0.21735282,0.025051897
stove,0.060498763,0.24208406,0.41686285
strainer,0.16121067,0.11308776,0.1819042
streetcar,0.14734976,0.22379485,0.39548242
stretcher,0.16988574,0.16514842,0.20581573
studio couch,0.15924355,0.35456896,0.20194542
stupa,0.0007621235,0.071450315,0.32567924
submarine,0.1763313,0.5418398,0.22982192
suit,0.20286648,-0.091966905,0.043730985
sundial,0.0338926,-0.031025985,0.08302308
sunglass,0.17913859,0.015132284,0.004858449
sunglasses,0.557226,0.54480284,0.28866187
sunscreen,0.05388051,0.20208988,0.07839842
suspension bridge,0.2652861,0.14199972,0.27474624
swab,-0.23660475,-0.17752393,0.052271504
sweatshirt,0.043460112,0.15064865,-0.00828412
swimming trunks,0.092087686,0.44437593,0.44762078
swing,-0.07127691,0.23109083,0.20496319
switch,-0.040862605,0.23881942,0.16263992
syringe,-0.12715067,-0.11627151,0.18655251
table lamp,0.11471548,0.3198595,0.27369663
tank,0.33719376,0.43096426,0.24250501
tape player,0.16106552,0.1745157,0.2574275
teapot,-0.047140058,0.6068986,-0.0060034003
teddy,0.15268816,0.35527918,0.1967317
television,0.07889815,0.27765346,0.3150314
tennis ball,0.06849541,0.46212372,0.34672487
thatch,0.16615458,0.03295213,0.3762796
theater curtain,0.5120693,0.34016314,0.19963187
thimble,0.24306513,0.27500898,0.3610025
thresher,0.09335342,-0.012820486,0.18610364
throne,0.11844169,0.24647844,0.34074336
tile roof,0.14589262,0.29089704,0.1492339
toaster,0.048180476,0.53289986,0.41905951
tobacco shop,0.08456604,0.20691901,0.34596348
toilet seat,0.030791486,0.59087175,0.32581097
torch,0.32330388,0.11903006,0.21734434
totem pole,0.022532087,0.16823012,0.061284903
tow truck,0.38592127,0.50176156,0.2637689
toyshop,0.05401471,0.49214286,0.9999982
tractor,0.18336311,0.61573297,0.19543241
trailer truck,-0.016016955,0.37084195,-0.036438547
tray,-0.015451542,0.21176651,0.23603192
trench coat,0.20614488,0.22944015,0.18129146
tricycle,0.12543607,0.0868397,0.52915245
trimaran,0.07343579,0.024461763,0.24275364
tripod,0.09018944,0.14896584,0.19184358
triumphal arch,0.32459894,0.44055578,0.06271592
trolleybus,0.5484376,0.3401183,0.50534403
trombone,0.29894313,0.297047,0.13923799
tub,0.081191584,0.15058684,0.24928537
turnstile,0.18578368,0.19887999,0.33543077
typewriter keyboard,0.52593195,0.463476,0.047423296
umbrella,0.18886255,0.47753042,0.48257464
unicycle,0.5208673,0.34355983,0.8439158
upright,0.09631433,0.33466724,0.42761627
vacuum,0.30142125,0.7344607,0.21221891
vase,0.045772262,0.6067873,0.24457808
vault,0.13470586,0.073702075,0.2897044
velvet,0.26098844,0.043464348,0.10057205
vending machine,0.102297604,0.20826809,0.23224884
vestment,-0.13231036,-0.08623297,-0.15233076
viaduct,-0.044449672,-0.013714339,0.051599436
violin,0.08782997,0.04985764,0.036354493
volleyball,0.08550757,0.617913,0.31211573
waffle iron,0.15689714,0.46795797,0.15250134
wall clock,0.2128493,0.46119422,0.27128172
wallet,0.30033916,0.25563136,0.425029
wardrobe,0.26592353,0.18812054,0.36106467
warplane,0.20887624,0.37405044,0.1307215
washbasin,-0.10442046,0.28367594,0.361017
washer,0.007828188,-0.040273882,0.036396872
water bottle,0.25833446,0.5702167,0.19109982
water jug,0.07710691,0.28283507,0.37476134
water tower,0.52084327,0.86025876,0.99999857
whiskey jug,0.22347912,0.068403944,0.30905804
whistle,-0.007080897,0.055818662,0.10841755
wig,0.27882385,0.063516535,0.36495158
window screen,-0.07985204,0.067182705,0.13134836
window shade,0.17802154,0.14458239,0.22845764
Windsor tie,0.083597325,-0.14808398,-0.061411332
wine bottle,0.12803781,0.39792454,0.5110515
wing,-0.017233245,0.100803725,0.24653849
wok,0.28640234,0.17315497,0.20875722
wooden spoon,-0.021478605,0.60455537,0.13936019
wool,0.22026642,0.25752464,0.4115778
worm fence,0.095460735,0.28589943,0.40740624
wreck,0.29638588,0.025382103,0.08055306
yawl,-0.013520099,0.004396513,0.21913664
yurt,0.15072387,0.23226508,0.004401811
web site,0.47490007,0.51775205,0.38900825
comic book,0.20367415,0.66562164,0.37606275
crossword puzzle,-0.07996929,0.6612372,-0.13208011
street sign,-0.012273437,0.4291656,0.50040823
traffic light,0.043378178,0.6407665,0.08433614
book jacket,0.10174137,0.2727445,0.44068503
menu,0.47498766,0.36815935,0.073224954
plate,0.37231112,0.11471831,1.0000014
guacamole,0.1825918,0.063708656,-0.0009821435
consomme,-0.011379585,-0.08275856,0.097309545
hot pot,0.38161165,0.3144812,0.38884228
trifle,0.23343617,0.033304587,0.38593292
ice cream,0.28078708,0.23866932,0.2881837
ice lolly,0.17583299,0.27982152,0.029867968
French loaf,0.3719424,0.24435595,0.26667082
bagel,0.30325666,0.25267008,0.27196085
pretzel,0.13604116,-0.019837108,0.028429538
cheeseburger,0.042081013,0.101076365,0.12443097
hotdog,0.2380474,0.43299633,0.26657018
mashed potato,0.233516,-0.013374244,0.26682976
head cabbage,0.26505193,0.2594063,0.25382668
broccoli,0.0821769,0.48550412,0.25712982
cauliflower,0.19212082,0.79097474,0.15026759
zucchini,-0.025384575,0.32925114,0.10035344
spaghetti squash,0.19509938,0.23367138,0.052295517
acorn squash,0.21422946,0.11983951,0.05703495
butternut squash,0.1050897,0.18345988,0.1551769
cucumber,0.0004103742,-0.064135276,-0.019547515
artichoke,-0.15948547,0.33931378,-0.022584355
bell pepper,-0.0709347,0.25120163,-0.06560761
cardoon,-0.13575369,-0.18486474,0.066579506
mushroom,0.24570961,0.9226155,0.2865415
Granny Smith,0.17549536,0.110101424,0.11735501
strawberry,-0.010025562,0.6063639,0.110867076
orange,0.40952733,0.46124578,0.25785804
lemon,0.25412476,0.15807812,0.32393533
fig,0.3538086,-0.0013014019,0.10749791
pineapple,0.30222118,0.5441866,0.2230465
banana,0.19927341,0.65093684,0.17313024
jackfruit,0.17625608,0.16403314,0.31608984
custard apple,0.15622826,0.11805745,0.12444333
pomegranate,-0.16540235,0.628872,-0.18472984
hay,0.08698132,0.040087767,0.09153287
carbonara,0.055256072,-0.29307356,-0.03861579
chocolate sauce,0.3145437,0.19690333,0.20161805
dough,0.29650703,0.12470255,0.21951418
meat loaf,0.2730574,0.17440869,0.36234558
pizza,0.34625518,0.5820918,0.46233705
potpie,0.06800734,-0.016766718,-0.03690684
burrito,0.34398928,0.2208742,0.30543354
red wine,0.16943334,0.33506134,0.2719425
espresso,0.05672982,0.323187,0.22518666
cup,-0.02054661,0.14263858,0.2576041
eggnog,0.061562136,0.16832723,0.27478403
alp,-0.044414356,0.07411669,-0.012980468
bubble,0.2861689,0.55758554,0.53369695
cliff,0.098653674,0.13372725,-0.1781183
coral reef,0.26199532,0.38532266,0.29400238
geyser,0.27638808,0.6348863,0.28651077
lakeside,0.07394294,-0.008949477,0.018388437
promontory,-0.0026896815,-0.015035165,0.11335122
sandbar,0.102858774,0.32764602,0.44039616
seashore,0.094288945,0.1340776,0.3414956
valley,0.26063177,0.059634928,0.14799075
volcano,0.27510718,0.42354643,-0.010023443
ballplayer,0.09496348,0.37617788,0.31817102
groom,0.0655617,0.21713245,0.29185763
scuba diver,0.06484866,0.3303053,0.1368983
rapeseed,-0.086789556,0.04859968,0.041380692
daisy,0.51372284,0.22267498,0.5712571
yellow lady's slipper,0.032653354,0.1567029,-0.22918586
corn,-0.031450134,0.3148174,0.21708372
acorn,0.2886845,0.10392886,0.39212987
hip,0.30209827,0.016382476,0.008741818
buckeye,0.057532202,0.095225886,-0.04163497
coral fungus,0.33396795,0.40231293,0.24185379
agaric,-0.3001951,-0.19537167,-0.090601936
gyromitra,-0.13535851,-0.12346613,-0.03357193
stinkhorn,0.21479382,0.19456857,0.17534633
earthstar,0.08400558,0.07914677,0.015028454
hen-of-the-woods,0.13557853,0.2194619,0.11390356
bolete,0.069734305,-0.063315585,0.072927594
ear,0.28046003,0.075182535,-0.03278438
toilet tissue,0.009591879,0.64405054,0.3278671
