unit_index,layer,channel,description
55,visual_transformer_resblocks_0,55,Black and white colored objects
56,visual_transformer_resblocks_0,56,Edges of objects
57,visual_transformer_resblocks_0,57,Blue and red objects
58,visual_transformer_resblocks_0,58,Circular objects
59,visual_transformer_resblocks_0,59,Spotted areas in pictures
60,visual_transformer_resblocks_0,60,Black and white colored objects
61,visual_transformer_resblocks_0,61,Designs
62,visual_transformer_resblocks_0,62,Items with designs
63,visual_transformer_resblocks_0,63,Yellow and red objects
64,visual_transformer_resblocks_0,64,The ground
65,visual_transformer_resblocks_0,65,Nature
66,visual_transformer_resblocks_0,66,The ground
67,visual_transformer_resblocks_0,67,Stripes
68,visual_transformer_resblocks_0,68,The ground
69,visual_transformer_resblocks_0,69,Specific patterns
70,visual_transformer_resblocks_0,70,Numbers and letters
71,visual_transformer_resblocks_0,71,The ground
72,visual_transformer_resblocks_0,72,Horizontal lines
73,visual_transformer_resblocks_0,73,Red and white objects
74,visual_transformer_resblocks_0,74,The ground
75,visual_transformer_resblocks_0,75,Red and white colored objects
76,visual_transformer_resblocks_0,76,The ground
77,visual_transformer_resblocks_0,77,Items with designs
78,visual_transformer_resblocks_0,78,Green grass
79,visual_transformer_resblocks_0,79,Items with designs
80,visual_transformer_resblocks_0,80,Green grass
81,visual_transformer_resblocks_0,81,The background
82,visual_transformer_resblocks_0,82,Black and white colored objects
83,visual_transformer_resblocks_0,83,Nature
84,visual_transformer_resblocks_0,84,The ground
85,visual_transformer_resblocks_0,85,Red and white colored objects
86,visual_transformer_resblocks_0,86,Horizontal lines
87,visual_transformer_resblocks_0,87,The ground
88,visual_transformer_resblocks_0,88,Similar patterns
89,visual_transformer_resblocks_0,89,Red and blue objects
90,visual_transformer_resblocks_0,90,Red and yellow objects
91,visual_transformer_resblocks_0,91,Similar patterns
92,visual_transformer_resblocks_0,92,The ground
93,visual_transformer_resblocks_0,93,Nature
94,visual_transformer_resblocks_0,94,The ground
95,visual_transformer_resblocks_0,95,Grass and trees
96,visual_transformer_resblocks_0,96,The ground
97,visual_transformer_resblocks_0,97,Textured areas
98,visual_transformer_resblocks_0,98,The top of a building
99,visual_transformer_resblocks_0,99,Brown colored objects
100,visual_transformer_resblocks_0,100,The ground
101,visual_transformer_resblocks_0,101,The ground
102,visual_transformer_resblocks_0,102,Nature
103,visual_transformer_resblocks_0,103,The ground
104,visual_transformer_resblocks_0,104,Circular objects
105,visual_transformer_resblocks_0,105,Rounded edges in pictures
106,visual_transformer_resblocks_0,106,Circular objects
107,visual_transformer_resblocks_0,107,Striped objects
108,visual_transformer_resblocks_0,108,Textured areas
109,visual_transformer_resblocks_0,109,Green grass
110,visual_transformer_resblocks_0,110,The ground
111,visual_transformer_resblocks_0,111,Diagonal lines
112,visual_transformer_resblocks_0,112,Brown colored objects
113,visual_transformer_resblocks_0,113,Faces of human beings
114,visual_transformer_resblocks_0,114,The ground
115,visual_transformer_resblocks_0,115,Horizontal lines
116,visual_transformer_resblocks_0,116,Dots
117,visual_transformer_resblocks_0,117,Striped objects
118,visual_transformer_resblocks_0,118,Faces of human beings
119,visual_transformer_resblocks_0,119,Lined objects
120,visual_transformer_resblocks_0,120,Nature
121,visual_transformer_resblocks_0,121,Textured areas
122,visual_transformer_resblocks_0,122,Green grass
123,visual_transformer_resblocks_0,123,Black and white colored objects
124,visual_transformer_resblocks_0,124,Black and white stripes
125,visual_transformer_resblocks_0,125,Horizontal lines
126,visual_transformer_resblocks_0,126,Similar color patterns
127,visual_transformer_resblocks_0,127,The ground
128,visual_transformer_resblocks_0,128,Horizontal lines
129,visual_transformer_resblocks_0,129,The ground
130,visual_transformer_resblocks_0,130,Animals
131,visual_transformer_resblocks_0,131,Textured areas
132,visual_transformer_resblocks_0,132,The ground
133,visual_transformer_resblocks_0,133,The left side of the object
134,visual_transformer_resblocks_0,134,Stripes
135,visual_transformer_resblocks_0,135,Red and white colored objects
136,visual_transformer_resblocks_0,136,Stripes
137,visual_transformer_resblocks_0,137,The ground
138,visual_transformer_resblocks_0,138,Patterned objects
139,visual_transformer_resblocks_0,139,Arches
140,visual_transformer_resblocks_0,140,The ground
141,visual_transformer_resblocks_0,141,Similar color patterns
142,visual_transformer_resblocks_0,142,Green colored objects
143,visual_transformer_resblocks_0,143,The ground
144,visual_transformer_resblocks_0,144,Items with designs
145,visual_transformer_resblocks_0,145,The ground
146,visual_transformer_resblocks_0,146,Nature
147,visual_transformer_resblocks_0,147,The sky and walls
148,visual_transformer_resblocks_0,148,Square patterns
149,visual_transformer_resblocks_0,149,Items with designs
150,visual_transformer_resblocks_0,150,The ground
151,visual_transformer_resblocks_0,151,Black and white colored objects
152,visual_transformer_resblocks_0,152,Similar patterns
153,visual_transformer_resblocks_0,153,Black and white colored objects
154,visual_transformer_resblocks_0,154,Black and white colored objects
155,visual_transformer_resblocks_0,155,Orange and yellow objects
156,visual_transformer_resblocks_0,156,The ground
157,visual_transformer_resblocks_0,157,Green colored objects
158,visual_transformer_resblocks_0,158,Similar color patterns
159,visual_transformer_resblocks_0,159,Blue objects
160,visual_transformer_resblocks_0,160,Blue colored objects
161,visual_transformer_resblocks_0,161,Black and white stripes
162,visual_transformer_resblocks_0,162,The ground
163,visual_transformer_resblocks_0,163,The ground
164,visual_transformer_resblocks_0,164,Red and white colored objects
165,visual_transformer_resblocks_0,165,Items with designs
166,visual_transformer_resblocks_0,166,The ground
167,visual_transformer_resblocks_0,167,Red and white objects
168,visual_transformer_resblocks_0,168,Similar patterns
169,visual_transformer_resblocks_0,169,Items that are knitted
170,visual_transformer_resblocks_0,170,Dogs and other animals
171,visual_transformer_resblocks_0,171,Edges of objects
172,visual_transformer_resblocks_0,172,The ground
173,visual_transformer_resblocks_0,173,Horizontal lines
174,visual_transformer_resblocks_0,174,Vertical lines
175,visual_transformer_resblocks_0,175,The ground
176,visual_transformer_resblocks_0,176,Diagonal lines
177,visual_transformer_resblocks_0,177,Similar patterns
178,visual_transformer_resblocks_0,178,Edges of objects
179,visual_transformer_resblocks_0,179,Items with designs
180,visual_transformer_resblocks_0,180,Dog heads
181,visual_transformer_resblocks_0,181,Brown colored objects
182,visual_transformer_resblocks_0,182,Horizontal lines
183,visual_transformer_resblocks_0,183,Green grass
184,visual_transformer_resblocks_0,184,Textured areas
185,visual_transformer_resblocks_0,185,The ground
186,visual_transformer_resblocks_0,186,The ground
187,visual_transformer_resblocks_0,187,Brown colored objects
188,visual_transformer_resblocks_0,188,Black and white stripes
189,visual_transformer_resblocks_0,189,Brown colored objects
190,visual_transformer_resblocks_0,190,Black and white stripes
191,visual_transformer_resblocks_0,191,The ground
192,visual_transformer_resblocks_0,192,Stripes
193,visual_transformer_resblocks_0,193,Textured areas
194,visual_transformer_resblocks_0,194,The ground
195,visual_transformer_resblocks_0,195,Circular objects
196,visual_transformer_resblocks_0,196,Arches
197,visual_transformer_resblocks_0,197,The ground
198,visual_transformer_resblocks_0,198,Horizontal lines
199,visual_transformer_resblocks_0,199,The ground
200,visual_transformer_resblocks_0,200,Textured areas
201,visual_transformer_resblocks_0,201,Similar patterns
202,visual_transformer_resblocks_0,202,The ground
203,visual_transformer_resblocks_0,203,Red objects
204,visual_transformer_resblocks_0,204,Items with designs
205,visual_transformer_resblocks_0,205,Grids
206,visual_transformer_resblocks_0,206,Nature
207,visual_transformer_resblocks_0,207,Circular objects
208,visual_transformer_resblocks_0,208,Vertical lines
209,visual_transformer_resblocks_0,209,The ground
210,visual_transformer_resblocks_0,210,Circular objects
211,visual_transformer_resblocks_0,211,The ground
212,visual_transformer_resblocks_0,212,Grass and trees
213,visual_transformer_resblocks_0,213,The ground
214,visual_transformer_resblocks_0,214,Horizontal lines
215,visual_transformer_resblocks_0,215,Designs
216,visual_transformer_resblocks_0,216,Items with designs
217,visual_transformer_resblocks_0,217,Circular objects
218,visual_transformer_resblocks_0,218,Designs
219,visual_transformer_resblocks_0,219,Items with designs
220,visual_transformer_resblocks_0,220,The ground
221,visual_transformer_resblocks_0,221,Red and white colored objects
222,visual_transformer_resblocks_0,222,Patterns
223,visual_transformer_resblocks_0,223,Pink colored objects
224,visual_transformer_resblocks_0,224,Heads of peoples
225,visual_transformer_resblocks_0,225,Green colored objects
226,visual_transformer_resblocks_0,226,Items with designs
227,visual_transformer_resblocks_0,227,Items with designs
228,visual_transformer_resblocks_0,228,Edges of objects
229,visual_transformer_resblocks_0,229,Similar color patterns
230,visual_transformer_resblocks_0,230,Similar patterns
231,visual_transformer_resblocks_0,231,The ground
232,visual_transformer_resblocks_0,232,Designs
233,visual_transformer_resblocks_0,233,Grass
234,visual_transformer_resblocks_0,234,The ground
235,visual_transformer_resblocks_0,235,Black and white color combination
236,visual_transformer_resblocks_0,236,Black and white colored objects
237,visual_transformer_resblocks_0,237,The ground
238,visual_transformer_resblocks_0,238,The ground
239,visual_transformer_resblocks_0,239,Green colored objects
240,visual_transformer_resblocks_0,240,The ground
241,visual_transformer_resblocks_0,241,The top of a building
242,visual_transformer_resblocks_0,242,Black and white colored objects
243,visual_transformer_resblocks_0,243,The ground
244,visual_transformer_resblocks_0,244,The ground
245,visual_transformer_resblocks_0,245,Horizontal lines
246,visual_transformer_resblocks_0,246,Items with designs
247,visual_transformer_resblocks_0,247,The ground
248,visual_transformer_resblocks_0,248,Circular objects
249,visual_transformer_resblocks_0,249,Horizontal lines
250,visual_transformer_resblocks_0,250,Circular objects
251,visual_transformer_resblocks_0,251,The ground
252,visual_transformer_resblocks_0,252,Items with designs
253,visual_transformer_resblocks_0,253,Red and white colored objects
254,visual_transformer_resblocks_0,254,Items with designs
255,visual_transformer_resblocks_0,255,The background
256,visual_transformer_resblocks_0,256,Black and white colored objects
257,visual_transformer_resblocks_0,257,Horizontal lines on objects
258,visual_transformer_resblocks_0,258,The ground
259,visual_transformer_resblocks_0,259,Green grass
260,visual_transformer_resblocks_0,260,Red and white colored objects
261,visual_transformer_resblocks_0,261,Orange and red objects
262,visual_transformer_resblocks_0,262,Edges of objects
263,visual_transformer_resblocks_0,263,The ground
264,visual_transformer_resblocks_0,264,Textured areas
265,visual_transformer_resblocks_0,265,The ground
266,visual_transformer_resblocks_0,266,Horizontal lines
267,visual_transformer_resblocks_0,267,Designs
268,visual_transformer_resblocks_0,268,Nature
269,visual_transformer_resblocks_0,269,Items that are knitted and cheetahs
270,visual_transformer_resblocks_0,270,Black and white stripes
271,visual_transformer_resblocks_0,271,Similar patterns
272,visual_transformer_resblocks_0,272,Designs
273,visual_transformer_resblocks_0,273,Vertical lines
274,visual_transformer_resblocks_0,274,The ground
275,visual_transformer_resblocks_0,275,Grass and watermarks
276,visual_transformer_resblocks_0,276,Green grass
277,visual_transformer_resblocks_0,277,Red and white colored objects
278,visual_transformer_resblocks_0,278,Black and white colored objects
279,visual_transformer_resblocks_0,279,Stripes
280,visual_transformer_resblocks_0,280,The ground
281,visual_transformer_resblocks_0,281,The ground
282,visual_transformer_resblocks_0,282,Horizontal lines
283,visual_transformer_resblocks_0,283,Textured areas
284,visual_transformer_resblocks_0,284,Similar patterns
285,visual_transformer_resblocks_0,285,The ground
286,visual_transformer_resblocks_0,286,Similar patterns
287,visual_transformer_resblocks_0,287,Dogs and other animals
288,visual_transformer_resblocks_0,288,Red and white objects
289,visual_transformer_resblocks_0,289,Textured areas
290,visual_transformer_resblocks_0,290,The ground
291,visual_transformer_resblocks_0,291,Green colored objects
292,visual_transformer_resblocks_0,292,Black and white stripes
293,visual_transformer_resblocks_0,293,Designs
294,visual_transformer_resblocks_0,294,Pink colored objects
295,visual_transformer_resblocks_0,295,The ground
296,visual_transformer_resblocks_0,296,Items with designs
297,visual_transformer_resblocks_0,297,The ground
298,visual_transformer_resblocks_0,298,The ground
299,visual_transformer_resblocks_0,299,The ground
300,visual_transformer_resblocks_0,300,Black and white colored objects
301,visual_transformer_resblocks_0,301,Brown colored objects
302,visual_transformer_resblocks_0,302,The ground
303,visual_transformer_resblocks_0,303,Items that are knitted and cheetahs
304,visual_transformer_resblocks_0,304,Horizontal lines
305,visual_transformer_resblocks_0,305,Circular objects
306,visual_transformer_resblocks_0,306,Circular objects
307,visual_transformer_resblocks_0,307,Nature
308,visual_transformer_resblocks_0,308,Designs
309,visual_transformer_resblocks_0,309,Green colored objects
310,visual_transformer_resblocks_0,310,Green colored objects
311,visual_transformer_resblocks_0,311,Stripes
312,visual_transformer_resblocks_0,312,Diagonal lines
313,visual_transformer_resblocks_0,313,The ground
314,visual_transformer_resblocks_0,314,The ground
315,visual_transformer_resblocks_0,315,Items with designs
316,visual_transformer_resblocks_0,316,Black and white stripes
317,visual_transformer_resblocks_0,317,Items with designs
318,visual_transformer_resblocks_0,318,The ground
319,visual_transformer_resblocks_0,319,Horizontal lines
320,visual_transformer_resblocks_0,320,Patterned objects
321,visual_transformer_resblocks_0,321,Circular objects
322,visual_transformer_resblocks_0,322,Airplanes
323,visual_transformer_resblocks_0,323,The ground
324,visual_transformer_resblocks_0,324,The ground
325,visual_transformer_resblocks_0,325,Designs
326,visual_transformer_resblocks_0,326,The ground
327,visual_transformer_resblocks_0,327,Horizontal lines
328,visual_transformer_resblocks_0,328,The ground
329,visual_transformer_resblocks_0,329,Textured areas
330,visual_transformer_resblocks_0,330,Horizontal lines
331,visual_transformer_resblocks_0,331,Similar color patterns
332,visual_transformer_resblocks_0,332,Black and white colored objects
333,visual_transformer_resblocks_0,333,Green colored objects
334,visual_transformer_resblocks_0,334,Circular objects
335,visual_transformer_resblocks_0,335,Designs
336,visual_transformer_resblocks_0,336,Black and white colored objects
337,visual_transformer_resblocks_0,337,The ground
338,visual_transformer_resblocks_0,338,Items with designs
339,visual_transformer_resblocks_0,339,The ground
340,visual_transformer_resblocks_0,340,The ground
341,visual_transformer_resblocks_0,341,Flags
342,visual_transformer_resblocks_0,342,Red and white colored objects
343,visual_transformer_resblocks_0,343,Black and white colored objects
344,visual_transformer_resblocks_0,344,The background
345,visual_transformer_resblocks_0,345,Rounded objects
346,visual_transformer_resblocks_0,346,Nature
347,visual_transformer_resblocks_0,347,The ground
348,visual_transformer_resblocks_0,348,Black and white objects
349,visual_transformer_resblocks_0,349,Black and white color combination
350,visual_transformer_resblocks_0,350,Green colored objects
351,visual_transformer_resblocks_0,351,Faces of human beings
352,visual_transformer_resblocks_0,352,The ground
353,visual_transformer_resblocks_0,353,The ground
354,visual_transformer_resblocks_0,354,Red objects
355,visual_transformer_resblocks_0,355,Designs
356,visual_transformer_resblocks_0,356,Similar patterns
357,visual_transformer_resblocks_0,357,The ground
358,visual_transformer_resblocks_0,358,Designs
359,visual_transformer_resblocks_0,359,Items with designs
360,visual_transformer_resblocks_0,360,"The sky, walls, and walls"
361,visual_transformer_resblocks_0,361,Black and white colored objects
362,visual_transformer_resblocks_0,362,Blue and red objects
363,visual_transformer_resblocks_0,363,Similar patterns
364,visual_transformer_resblocks_0,364,The ground
365,visual_transformer_resblocks_0,365,Green grass
366,visual_transformer_resblocks_0,366,The ground
367,visual_transformer_resblocks_0,367,Items with designs
368,visual_transformer_resblocks_0,368,Patterned objects
369,visual_transformer_resblocks_0,369,The ground
370,visual_transformer_resblocks_0,370,Green colored objects
371,visual_transformer_resblocks_0,371,Red and white colored objects
372,visual_transformer_resblocks_0,372,The ground
373,visual_transformer_resblocks_0,373,Arches
374,visual_transformer_resblocks_0,374,Red and white colored objects
375,visual_transformer_resblocks_0,375,Circular objects
376,visual_transformer_resblocks_0,376,The ground
377,visual_transformer_resblocks_0,377,Green grass
378,visual_transformer_resblocks_0,378,Items with designs
379,visual_transformer_resblocks_0,379,Nature
380,visual_transformer_resblocks_0,380,Stripes
381,visual_transformer_resblocks_0,381,The ground
382,visual_transformer_resblocks_0,382,Items with designs
383,visual_transformer_resblocks_0,383,Items with designs
384,visual_transformer_resblocks_0,384,Striped objects
385,visual_transformer_resblocks_0,385,Items with designs
386,visual_transformer_resblocks_0,386,The ground
387,visual_transformer_resblocks_0,387,Red and white colored objects
388,visual_transformer_resblocks_0,388,Fur of animals
389,visual_transformer_resblocks_0,389,The ground
390,visual_transformer_resblocks_0,390,Similar color patterns
391,visual_transformer_resblocks_0,391,The ground
392,visual_transformer_resblocks_0,392,Items that are knitted and cheetahs
393,visual_transformer_resblocks_0,393,Items with designs
394,visual_transformer_resblocks_0,394,Brighter areas in objects
395,visual_transformer_resblocks_0,395,Red and white colored objects
396,visual_transformer_resblocks_0,396,Items with designs
397,visual_transformer_resblocks_0,397,The ground
398,visual_transformer_resblocks_0,398,The ground
399,visual_transformer_resblocks_0,399,Green grass
400,visual_transformer_resblocks_0,400,Red and white colored objects
401,visual_transformer_resblocks_0,401,The ground
402,visual_transformer_resblocks_0,402,Numbers and letters
403,visual_transformer_resblocks_0,403,Brown colored objects
404,visual_transformer_resblocks_0,404,Similar color patterns
405,visual_transformer_resblocks_0,405,The ground
406,visual_transformer_resblocks_0,406,The ground
407,visual_transformer_resblocks_0,407,The ground
408,visual_transformer_resblocks_0,408,Circular objects
409,visual_transformer_resblocks_0,409,The ground
410,visual_transformer_resblocks_0,410,Green colored objects
411,visual_transformer_resblocks_0,411,Circular objects
412,visual_transformer_resblocks_0,412,Blue skies
413,visual_transformer_resblocks_0,413,Horizontal lines
414,visual_transformer_resblocks_0,414,Items with designs
415,visual_transformer_resblocks_0,415,Green colored objects
416,visual_transformer_resblocks_0,416,The ground
417,visual_transformer_resblocks_0,417,Red and white objects
418,visual_transformer_resblocks_0,418,Dogs
419,visual_transformer_resblocks_0,419,The ground
420,visual_transformer_resblocks_0,420,The ground
421,visual_transformer_resblocks_0,421,Black and white stripes
422,visual_transformer_resblocks_0,422,The ground
423,visual_transformer_resblocks_0,423,Nature
424,visual_transformer_resblocks_0,424,The background
425,visual_transformer_resblocks_0,425,Numbers and letters
426,visual_transformer_resblocks_0,426,The ground
427,visual_transformer_resblocks_0,427,Items with designs
428,visual_transformer_resblocks_0,428,Vertical lines
429,visual_transformer_resblocks_0,429,Items with designs
430,visual_transformer_resblocks_0,430,Textured areas
431,visual_transformer_resblocks_0,431,The ground
432,visual_transformer_resblocks_0,432,Red and white colored objects
433,visual_transformer_resblocks_0,433,Yellow objects
434,visual_transformer_resblocks_0,434,The ground
435,visual_transformer_resblocks_0,435,Circular objects
436,visual_transformer_resblocks_0,436,Similar patterns
437,visual_transformer_resblocks_0,437,The background
438,visual_transformer_resblocks_0,438,Stripes
439,visual_transformer_resblocks_0,439,Red and white objects
440,visual_transformer_resblocks_0,440,The ground
441,visual_transformer_resblocks_0,441,Animals and people
442,visual_transformer_resblocks_0,442,Horizontal lines
443,visual_transformer_resblocks_0,443,Grids
444,visual_transformer_resblocks_0,444,Pink colored objects
445,visual_transformer_resblocks_0,445,Textured areas
446,visual_transformer_resblocks_0,446,Green grass
447,visual_transformer_resblocks_0,447,Grass
448,visual_transformer_resblocks_0,448,Black and white colored objects
449,visual_transformer_resblocks_0,449,Green grass
450,visual_transformer_resblocks_0,450,The ground
451,visual_transformer_resblocks_0,451,The ground
452,visual_transformer_resblocks_0,452,Vertical lines
453,visual_transformer_resblocks_0,453,Striped objects
454,visual_transformer_resblocks_0,454,White colored objects
455,visual_transformer_resblocks_0,455,Vertical lines
456,visual_transformer_resblocks_0,456,The ground
457,visual_transformer_resblocks_0,457,Textured areas
458,visual_transformer_resblocks_0,458,The ground
459,visual_transformer_resblocks_0,459,Textured areas
460,visual_transformer_resblocks_0,460,The ground
461,visual_transformer_resblocks_0,461,Circular objects
462,visual_transformer_resblocks_0,462,The ground
463,visual_transformer_resblocks_0,463,Red and white colored objects
464,visual_transformer_resblocks_0,464,The ground
465,visual_transformer_resblocks_0,465,Patterned objects
466,visual_transformer_resblocks_0,466,Round objects
467,visual_transformer_resblocks_0,467,Green grass
468,visual_transformer_resblocks_0,468,Black and white stripes
469,visual_transformer_resblocks_0,469,Green colored objects
470,visual_transformer_resblocks_0,470,The top of a object
471,visual_transformer_resblocks_0,471,Vertical lines
472,visual_transformer_resblocks_0,472,Green colored objects
473,visual_transformer_resblocks_0,473,Circular objects
474,visual_transformer_resblocks_0,474,Horizontal lines
475,visual_transformer_resblocks_0,475,Circular objects
476,visual_transformer_resblocks_0,476,Edges of objects
477,visual_transformer_resblocks_0,477,The ground
478,visual_transformer_resblocks_0,478,The ground
479,visual_transformer_resblocks_0,479,Circular objects
480,visual_transformer_resblocks_0,480,Black and white stripes
481,visual_transformer_resblocks_0,481,Black and white stripes
482,visual_transformer_resblocks_0,482,Designs
483,visual_transformer_resblocks_0,483,The ground
484,visual_transformer_resblocks_0,484,Vertical lines
485,visual_transformer_resblocks_0,485,Round objects
486,visual_transformer_resblocks_0,486,Green colored objects
487,visual_transformer_resblocks_0,487,Nature
488,visual_transformer_resblocks_0,488,The ground
489,visual_transformer_resblocks_0,489,The ground
490,visual_transformer_resblocks_0,490,Black and white stripes
491,visual_transformer_resblocks_0,491,The ground
492,visual_transformer_resblocks_0,492,Pink colored objects
493,visual_transformer_resblocks_0,493,Dogs
494,visual_transformer_resblocks_0,494,The ground
495,visual_transformer_resblocks_0,495,The ground
496,visual_transformer_resblocks_0,496,The ground
497,visual_transformer_resblocks_0,497,Horizontal lines
498,visual_transformer_resblocks_0,498,Animals and people
499,visual_transformer_resblocks_0,499,Horizontal lines
500,visual_transformer_resblocks_0,500,Spots of the color white
501,visual_transformer_resblocks_0,501,The ground
502,visual_transformer_resblocks_0,502,Black and white stripes
503,visual_transformer_resblocks_0,503,Nature
504,visual_transformer_resblocks_0,504,The ground
505,visual_transformer_resblocks_0,505,Dots
506,visual_transformer_resblocks_0,506,The ground
507,visual_transformer_resblocks_0,507,Rounded edges in pictures
508,visual_transformer_resblocks_0,508,The ground
509,visual_transformer_resblocks_0,509,Patterned objects
510,visual_transformer_resblocks_0,510,Blue objects
511,visual_transformer_resblocks_0,511,Signage and vehicles
512,visual_transformer_resblocks_0,512,Areas around a central focus
513,visual_transformer_resblocks_0,513,Words and letters
514,visual_transformer_resblocks_0,514,Textured areas
515,visual_transformer_resblocks_0,515,Green grass
516,visual_transformer_resblocks_0,516,Designs
517,visual_transformer_resblocks_0,517,Green colored objects
518,visual_transformer_resblocks_0,518,Stripes
519,visual_transformer_resblocks_0,519,The ground
520,visual_transformer_resblocks_0,520,Nature
521,visual_transformer_resblocks_0,521,Rounded objects
522,visual_transformer_resblocks_0,522,The ground
523,visual_transformer_resblocks_0,523,The ground
524,visual_transformer_resblocks_0,524,The ground
525,visual_transformer_resblocks_0,525,Green colored objects
526,visual_transformer_resblocks_0,526,Dog ears
527,visual_transformer_resblocks_0,527,Edges of objects
528,visual_transformer_resblocks_0,528,The ground
529,visual_transformer_resblocks_0,529,Red and white objects
530,visual_transformer_resblocks_0,530,Dogs
531,visual_transformer_resblocks_0,531,Vertical lines
532,visual_transformer_resblocks_0,532,Striped objects
533,visual_transformer_resblocks_0,533,Red and white colored objects
534,visual_transformer_resblocks_0,534,Stripes
535,visual_transformer_resblocks_0,535,Stripes
536,visual_transformer_resblocks_0,536,Textured areas
537,visual_transformer_resblocks_0,537,People and animals
538,visual_transformer_resblocks_0,538,The ground
539,visual_transformer_resblocks_0,539,Items with designs
540,visual_transformer_resblocks_0,540,Fire and organs
541,visual_transformer_resblocks_0,541,Items with designs
542,visual_transformer_resblocks_0,542,The ground
543,visual_transformer_resblocks_0,543,The ground
544,visual_transformer_resblocks_0,544,The ground
545,visual_transformer_resblocks_0,545,Circular objects
546,visual_transformer_resblocks_0,546,Nature
547,visual_transformer_resblocks_0,547,Blue colored objects
548,visual_transformer_resblocks_0,548,Animals and grates
549,visual_transformer_resblocks_0,549,Circular objects
550,visual_transformer_resblocks_0,550,The ground
551,visual_transformer_resblocks_0,551,Diagonal lines
552,visual_transformer_resblocks_0,552,Nature
553,visual_transformer_resblocks_0,553,Brown colored objects
554,visual_transformer_resblocks_0,554,Nature
555,visual_transformer_resblocks_0,555,Green grass
556,visual_transformer_resblocks_0,556,Green colored objects
557,visual_transformer_resblocks_0,557,Patterns
558,visual_transformer_resblocks_0,558,The ground
559,visual_transformer_resblocks_0,559,Similar patterns
560,visual_transformer_resblocks_0,560,Faces of things
561,visual_transformer_resblocks_0,561,Items with designs
562,visual_transformer_resblocks_0,562,Textured areas
563,visual_transformer_resblocks_0,563,Green and brown colored objects
564,visual_transformer_resblocks_0,564,The ground
565,visual_transformer_resblocks_0,565,Patterned objects
566,visual_transformer_resblocks_0,566,Red and orange objects
567,visual_transformer_resblocks_0,567,The ground
568,visual_transformer_resblocks_0,568,Horizontal lines
569,visual_transformer_resblocks_0,569,The ground
570,visual_transformer_resblocks_0,570,Dogs
571,visual_transformer_resblocks_0,571,Similar color patterns
572,visual_transformer_resblocks_0,572,The ground
573,visual_transformer_resblocks_0,573,Edges of objects
574,visual_transformer_resblocks_0,574,The background
575,visual_transformer_resblocks_0,575,The ground
576,visual_transformer_resblocks_0,576,Striped objects
577,visual_transformer_resblocks_0,577,Red and white colored objects
578,visual_transformer_resblocks_0,578,Animals and circular objects
579,visual_transformer_resblocks_0,579,Stripes
580,visual_transformer_resblocks_0,580,White colored objects
