unit_index,layer,channel,description,is_text_neuron
114,layer1,50,Words and letters,True
115,layer1,51,Red and white colored objects,False
116,layer1,52,Words,True
117,layer1,53,Dots,False
118,layer1,54,Text,True
119,layer1,55,Words and white areas,True
120,layer1,56,Words,True
121,layer1,57,Words and letters,True
122,layer1,58,Edges of objects,False
123,layer1,59,White dots outlining objects,False
124,layer1,60,Words and letters,True
125,layer1,61,Black and white lettering,True
126,layer1,62,Words,True
127,layer1,63,Words and letters,True
128,layer2,0,Edges of objects,False
129,layer2,1,Words and letters,True
130,layer2,2,Vertical lines,False
131,layer2,3,Words,True
132,layer2,4,Words and letters,True
133,layer2,5,Sharks and white lettering,True
134,layer2,6,Spots of the color white,False
135,layer2,7,Words,True
136,layer2,8,Words,True
137,layer2,9,Sharks and white lettering,True
138,layer2,10,Words,True
139,layer2,11,Words and letters,True
140,layer2,12,Words,True
141,layer2,13,Dots on the corners,False
142,layer2,14,Horizontal lines,False
143,layer2,15,Words and letters,True
144,layer2,16,A white outlines,False
145,layer2,17,Words,True
146,layer2,18,Horizontal lines,False
147,layer2,19,Vertical lines,False
148,layer2,20,Spots of the color white,False
149,layer2,21,Edges of objects,False
150,layer2,22,Words,True
151,layer2,23,Words,True
152,layer2,24,Words,True
153,layer2,25,Horizontal lines,False
154,layer2,26,Words and letters,True
155,layer2,27,Words,True
156,layer2,28,Sharks and white lettering,True
157,layer2,29,Words,True
158,layer2,30,Horizontal lines,False
159,layer2,31,Words,True
160,layer2,32,Vertical lines,False
161,layer2,33,Horizontal lines,False
162,layer2,34,Pale areas,False
163,layer2,35,White dots outlining objects,False
164,layer2,36,Dots on the corners,False
165,layer2,37,Words and letters,True
166,layer2,38,White dots outlining objects,False
167,layer2,39,Horizontal lines,False
168,layer2,40,Words,True
169,layer2,41,Words and letters,True
170,layer2,42,Spots of the color white,False
171,layer2,43,Words and letters,True
172,layer2,44,Spots of the color white,False
173,layer2,45,Words,True
174,layer2,46,Words,True
175,layer2,47,Dots outlining objects,False
176,layer2,48,Words,True
177,layer2,49,Words,True
178,layer2,50,Words and letters,True
179,layer2,51,Words and letters,True
180,layer2,52,Horizontal lines,False
181,layer2,53,Words and letters,True
182,layer2,54,Words,True
183,layer2,55,Edges of objects,False
184,layer2,56,Words,True
185,layer2,57,Words and letters,True
186,layer2,58,Pale areas,False
187,layer2,59,Dots,False
188,layer2,60,Horizontal lines,False
189,layer2,61,Words,True
190,layer2,62,Words,True
191,layer2,63,Sharks and white lettering,True
192,layer2,64,Words and letters,True
193,layer2,65,Words,True
194,layer2,66,Words,True
195,layer2,67,Sharks and white lettering,True
196,layer2,68,Spots of the color white,False
197,layer2,69,Words,True
198,layer2,70,Sharks and white lettering,True
199,layer2,71,Words and letters,True
200,layer2,72,Horizontal lines,False
201,layer2,73,Words,True
202,layer2,74,Dots,False
203,layer2,75,Dots,False
204,layer2,76,Words,True
205,layer2,77,Sharks and white lettering,True
206,layer2,78,Small lines,False
207,layer2,79,Vertical lines,False
208,layer2,80,Spots of the color white,False
209,layer2,81,Words and letters,True
210,layer2,82,Edges,False
211,layer2,83,Vertical lines,False
212,layer2,84,Words and letters,True
213,layer2,85,Words and letters,True
214,layer2,86,White dots outlining objects,False
215,layer2,87,Horizontal lines,False
216,layer2,88,Horizontal lines,False
217,layer2,89,Horizontal lines,False
218,layer2,90,Horizontal lines,False
219,layer2,91,Words and letters,True
220,layer2,92,Red and white lettering,True
221,layer2,93,Words and letters,True
222,layer2,94,Words,True
223,layer2,95,Dots on the corners,False
224,layer2,96,Words and letters,True
225,layer2,97,Horizontal lines,False
226,layer2,98,Sharks and white lettering,True
227,layer2,99,Vertical lines,False
228,layer2,100,Words,True
229,layer2,101,Dots,False
230,layer2,102,Words and letters,True
231,layer2,103,Words and letters,True
232,layer2,104,Words and letters,True
233,layer2,105,Colorful dots,False
234,layer2,106,Words and letters,True
235,layer2,107,Words,True
236,layer2,108,Words,True
237,layer2,109,Dots on the corners,False
238,layer2,110,Horizontal lines,False
239,layer2,111,Edges,False
240,layer2,112,Dots on the corners,False
241,layer2,113,Words,True
242,layer2,114,Sharks,False
243,layer2,115,Horizontal lines,False
244,layer2,116,Edges of objects,False
245,layer2,117,Edges,False
246,layer2,118,Edges,False
247,layer2,119,Words,True
248,layer2,120,Words,True
249,layer2,121,Words and letters,True
250,layer2,122,Words and letters,True
251,layer2,123,Words,True
252,layer2,124,Sharks and white lettering,True
253,layer2,125,Words and letters,True
254,layer2,126,Sharks and white lettering,True
255,layer2,127,Words,True
256,layer3,0,Words and letters,True
257,layer3,1,Words,True
258,layer3,2,Signs,False
259,layer3,3,Words and letters,True
260,layer3,4,Green colored objects,False
261,layer3,5,Words,True
262,layer3,6,Words,True
263,layer3,7,Words and letters,True
264,layer3,8,Words,True
265,layer3,9,Edges,False
266,layer3,10,Red colored object with text,True
267,layer3,11,Horizontal lines,False
268,layer3,12,Words and letters,True
269,layer3,13,Words,True
270,layer3,14,Words,True
271,layer3,15,Words and letters,True
272,layer3,16,Dots on the corners,False
273,layer3,17,Words,True
274,layer3,18,"The sky, signs, signs, signs, signs, signs, signs,",False
275,layer3,19,The area above a object,False
276,layer3,20,Horizontal lines,False
277,layer3,21,White dots outlining objects,False
278,layer3,22,Sharks,False
279,layer3,23,Words,True
280,layer3,24,Words,True
281,layer3,25,Horizontal lines,False
282,layer3,26,Text,True
283,layer3,27,Dogs,False
284,layer3,28,Words,True
285,layer3,29,Words,True
286,layer3,30,Horizontal lines,False
287,layer3,31,Words,True
288,layer3,32,Words,True
289,layer3,33,Words,True
290,layer3,34,Words,True
291,layer3,35,Words,True
292,layer3,36,Words and grids,True
293,layer3,37,Horizontal lines,False
294,layer3,38,Words and letters,True
295,layer3,39,Words,True
296,layer3,40,Horizontal lines,False
297,layer3,41,Words,True
298,layer3,42,Words and letters,True
299,layer3,43,Words and letters,True
300,layer3,44,Words,True
301,layer3,45,People 's heads,False
302,layer3,46,Text,True
303,layer3,47,Horizontal lines,False
304,layer3,48,Words,True
305,layer3,49,Words,True
306,layer3,50,Horizontal lines,False
307,layer3,51,Numbers and letters,True
308,layer3,52,Words and letters,True
309,layer3,53,Words,True
310,layer3,54,Words and letters,True
311,layer3,55,Horizontal lines,False
312,layer3,56,Words,True
313,layer3,57,Words and letters,True
314,layer3,58,Words,True
315,layer3,59,Spots of the color white,False
316,layer3,60,Horizontal lines,False
317,layer3,61,Horizontal lines,False
318,layer3,62,Words,True
319,layer3,63,Words and letters,True
320,layer3,64,Horizontal lines,False
321,layer3,65,Horizontal lines,False
322,layer3,66,Dots on the corners,False
323,layer3,67,Dots on the corners,False
324,layer3,68,Words,True
325,layer3,69,Words and letters,True
326,layer3,70,Words and letters,True
327,layer3,71,Words,True
328,layer3,72,Words,True
329,layer3,73,Signs,False
330,layer3,74,Red and white colored objects,False
331,layer3,75,Words,True
332,layer3,76,Words and letters,True
333,layer3,77,Blue skies,False
334,layer3,78,Text,True
335,layer3,79,Words,True
336,layer3,80,Horizontal lines,False
337,layer3,81,Sharks,False
338,layer3,82,Words,True
339,layer3,83,Words,True
340,layer3,84,Sharks,False
341,layer3,85,Words and letters,True
342,layer3,86,Words and horizontal lines,True
343,layer3,87,Words and letters,True
344,layer3,88,The area under a object,False
345,layer3,89,Sharks,False
346,layer3,90,Sharks,False
347,layer3,91,Words,True
348,layer3,92,Words and letters,True
349,layer3,93,Words and letters,True
350,layer3,94,Words and letters,True
351,layer3,95,Words,True
352,layer3,96,Words,True
353,layer3,97,Words and letters,True
354,layer3,98,Words,True
355,layer3,99,Horizontal lines,False
356,layer3,100,Horizontal lines,False
357,layer3,101,Edges,False
358,layer3,102,Sharks,False
359,layer3,103,Black and white colored objects,False
360,layer3,104,Horizontal lines,False
361,layer3,105,Horizontal lines,False
362,layer3,106,Sharks and white lettering,True
363,layer3,107,Horizontal lines,False
364,layer3,108,The right side,False
365,layer3,109,Words,True
366,layer3,110,Words,True
367,layer3,111,Words,True
368,layer3,112,Words,True
369,layer3,113,Words and letters,True
370,layer3,114,Horizontal lines,False
371,layer3,115,Words,True
372,layer3,116,White dots outlining objects,False
373,layer3,117,Words and letters,True
374,layer3,118,Words and outlines of objects,True
375,layer3,119,Words,True
376,layer3,120,Words,True
377,layer3,121,Horizontal lines,False
378,layer3,122,Words and letters,True
379,layer3,123,Text,True
380,layer3,124,Blue and white spots,False
381,layer3,125,Words,True
382,layer3,126,Dots on the corners,False
383,layer3,127,Spots of the color white,False
384,layer3,128,Small white dots,False
385,layer3,129,Words,True
386,layer3,130,Words and letters,True
387,layer3,131,Words,True
388,layer3,132,Faces of human beings,False
389,layer3,133,Words,True
390,layer3,134,Horizontal lines,False
391,layer3,135,Dots outlining objects,False
392,layer3,136,Words,True
393,layer3,137,Words,True
394,layer3,138,White dots outlining objects,False
395,layer3,139,Words and letters,True
396,layer3,140,Spots of the color white,False
397,layer3,141,Spots of the color white,False
398,layer3,142,Words and letters,True
399,layer3,143,Words,True
400,layer3,144,Signs,False
401,layer3,145,Words and letters,True
402,layer3,146,Horizontal lines,False
403,layer3,147,Horizontal lines,False
404,layer3,148,White dots outlining objects,False
405,layer3,149,Words and letters,True
406,layer3,150,Horizontal lines,False
407,layer3,151,Horizontal lines,False
408,layer3,152,Sharks,False
409,layer3,153,Dots on the corners,False
410,layer3,154,Horizontal lines,False
411,layer3,155,Words,True
412,layer3,156,White dots outlining objects,False
413,layer3,157,Words,True
414,layer3,158,Words,True
415,layer3,159,The top of the dogs,False
416,layer3,160,Spots of the color white,False
417,layer3,161,Words,True
418,layer3,162,Words,True
419,layer3,163,Horizontal lines,False
420,layer3,164,Horizontal lines,False
421,layer3,165,Words,True
422,layer3,166,Spots of the color white,False
423,layer3,167,Words,True
424,layer3,168,Words,True
425,layer3,169,Spots of the color white,False
426,layer3,170,Vertical lines,False
427,layer3,171,Horizontal lines,False
428,layer3,172,Signs,False
429,layer3,173,Green colored objects,False
430,layer3,174,Spots of the color white,False
431,layer3,175,Horizontal lines,False
432,layer3,176,Words,True
433,layer3,177,Words,True
434,layer3,178,Horizontal lines,False
435,layer3,179,Words and horizontal lines,True
436,layer3,180,Words,True
437,layer3,181,Words,True
438,layer3,182,Words,True
439,layer3,183,Words,True
440,layer3,184,Sharks and white lettering,True
441,layer3,185,Words and letters,True
442,layer3,186,Horizontal lines,False
443,layer3,187,Edges,False
444,layer3,188,Words and letters,True
445,layer3,189,The sky,False
446,layer3,190,Horizontal lines,False
447,layer3,191,Sharks,False
448,layer3,192,Words and letters,True
449,layer3,193,Words and letters,True
450,layer3,194,Spots of the color white,False
451,layer3,195,Words and letters,True
452,layer3,196,Dots on the corners,False
453,layer3,197,Words,True
454,layer3,198,Words,True
455,layer3,199,Words and letters,True
456,layer3,200,Spots of the color white,False
457,layer3,201,Words,True
458,layer3,202,Words,True
459,layer3,203,Words and grids,True
460,layer3,204,Words,True
461,layer3,205,Horizontal lines,False
462,layer3,206,Words,True
463,layer3,207,Horizontal lines,False
464,layer3,208,Words and letters,True
465,layer3,209,Horizontal lines,False
466,layer3,210,Words,True
467,layer3,211,Horizontal lines,False
468,layer3,212,Words,True
469,layer3,213,Words,True
470,layer3,214,Words and letters,True
471,layer3,215,Horizontal lines,False
472,layer3,216,Spots of the color white,False
473,layer3,217,Words,True
474,layer3,218,Red colored object with text,True
475,layer3,219,Words,True
476,layer3,220,Words,True
477,layer3,221,Words and letters,True
478,layer3,222,Red and white colored objects,False
479,layer3,223,White areas,False
480,layer3,224,Words,True
481,layer3,225,Horizontal lines,False
482,layer3,226,Words,True
483,layer3,227,Words,True
484,layer3,228,Words,True
485,layer3,229,Words,True
486,layer3,230,Words and letters,True
487,layer3,231,Words,True
488,layer3,232,The area under a object,False
489,layer3,233,Black and white colored objects,False
490,layer3,234,Grass and watermarks,False
491,layer3,235,Blue and white objects,False
492,layer3,236,White dots outlining objects,False
493,layer3,237,Words,True
494,layer3,238,Sharks,False
495,layer3,239,Words,True
496,layer3,240,Words and letters,True
497,layer3,241,Words,True
498,layer3,242,Words,True
499,layer3,243,Horizontal lines,False
500,layer3,244,Words,True
501,layer3,245,Words and letters,True
502,layer3,246,Words and letters,True
503,layer3,247,Horizontal lines,False
504,layer3,248,Words and letters,True
505,layer3,249,Horizontal lines,False
506,layer3,250,Words,True
507,layer3,251,Sharks,False
508,layer3,252,Words,True
509,layer3,253,Words and grids,True
510,layer3,254,Words,True
511,layer3,255,Words and letters,True
512,layer4,0,Words,True
513,layer4,1,Words,True
514,layer4,2,Black and white objects,False
515,layer4,3,Words,True
516,layer4,4,Words,True
517,layer4,5,Words,True
518,layer4,6,Signs,False
519,layer4,7,Words,True
520,layer4,8,Blue colored objects,False
521,layer4,9,Horizontal lines,False
522,layer4,10,Numbers and letters,True
523,layer4,11,Words,True
524,layer4,12,Words,True
525,layer4,13,Words,True
526,layer4,14,Dogs,False
527,layer4,15,Numbers and letters,True
528,layer4,16,A sign,False
529,layer4,17,Black and white colored objects,False
530,layer4,18,Words,True
531,layer4,19,Words,True
532,layer4,20,Words,True
533,layer4,21,Words,True
534,layer4,22,Rounded edges in pictures,False
535,layer4,23,The tops of buildings,False
536,layer4,24,Airplanes,False
537,layer4,25,Words,True
538,layer4,26,Numbers and letters,True
539,layer4,27,Numbers and letters,True
540,layer4,28,Red colored object with text,True
541,layer4,29,Words,True
542,layer4,30,Words,True
543,layer4,31,Words,True
544,layer4,32,Black and white colored objects,False
545,layer4,33,Words,True
546,layer4,34,Numbers and letters,True
547,layer4,35,Dog faces,False
548,layer4,36,Words,True
549,layer4,37,Dog faces,False
550,layer4,38,Words,True
551,layer4,39,The left side of the dogs,False
552,layer4,40,Words,True
553,layer4,41,Signs,False
554,layer4,42,Words,True
555,layer4,43,Dogs and vehicles,False
556,layer4,44,Text,True
557,layer4,45,Signs,False
558,layer4,46,Words,True
559,layer4,47,Words,True
560,layer4,48,Black and white colored objects,False
561,layer4,49,The tops of buildings,False
562,layer4,50,Words,True
563,layer4,51,Words,True
564,layer4,52,Words,True
565,layer4,53,Circular objects,False
566,layer4,54,Words,True
567,layer4,55,Sign boards with text in it,True
568,layer4,56,Signs,False
569,layer4,57,Signs,False
570,layer4,58,Words,True
571,layer4,59,Words,True
572,layer4,60,Words,True
573,layer4,61,Rounded edges in pictures,False
574,layer4,62,Words,True
575,layer4,63,Words,True
576,layer4,64,Numbers and letters,True
577,layer4,65,Brown colored objects,False
578,layer4,66,The left side of objects,False
579,layer4,67,Horizontal lines,False
580,layer4,68,Balls,False
581,layer4,69,Numbers and letters,True
582,layer4,70,Red and white colored objects,False
583,layer4,71,Rounded edges in pictures,False
584,layer4,72,Numbers and letters,True
585,layer4,73,Words,True
586,layer4,74,Words,True
587,layer4,75,Text,True
588,layer4,76,Words,True
589,layer4,77,Black and white colored objects,False
590,layer4,78,Green colored object with stripes,False
591,layer4,79,Words,True
592,layer4,80,Signs,False
593,layer4,81,Black and white colored objects,False
594,layer4,82,White colored objects,False
595,layer4,83,Black and white colored objects,False
596,layer4,84,Red and white objects,False
597,layer4,85,The top of buildings,False
598,layer4,86,Words,True
599,layer4,87,Words,True
600,layer4,88,Dog faces,False
601,layer4,89,Green colored object with stripes,False
602,layer4,90,Numbers and letters,True
603,layer4,91,Old seaside town,False
604,layer4,92,Sharks,False
605,layer4,93,Words,True
606,layer4,94,Buildings and vehicles,False
607,layer4,95,Dogs,False
608,layer4,96,Words,True
609,layer4,97,Words,True
610,layer4,98,Circular objects,False
611,layer4,99,Numbers and letters,True
612,layer4,100,Signs,False
613,layer4,101,Words,True
614,layer4,102,Letters and numbers and letters,True
615,layer4,103,Words,True
616,layer4,104,Words,True
617,layer4,105,Dogs,False
618,layer4,106,Dog heads,False
619,layer4,107,Words,True
620,layer4,108,Words,True
621,layer4,109,Words,True
622,layer4,110,Words,True
623,layer4,111,Signs,False
624,layer4,112,Signs,False
625,layer4,113,Text,True
626,layer4,114,Words,True
627,layer4,115,Words,True
628,layer4,116,Black and white objects,False
629,layer4,117,Words,True
630,layer4,118,Words,True
631,layer4,119,Words,True
632,layer4,120,Words,True
633,layer4,121,Black and white objects,False
634,layer4,122,Signs,False
635,layer4,123,Signs,False
636,layer4,124,Numbers and letters,True
637,layer4,125,Signs,False
638,layer4,126,Numbers and letters,True
639,layer4,127,Black and white colored objects,False
640,layer4,128,Words,True
641,layer4,129,Words,True
642,layer4,130,Black and white objects,False
643,layer4,131,Words,True
644,layer4,132,Words,True
645,layer4,133,Arches,False
646,layer4,134,Dog faces,False
647,layer4,135,Dog faces,False
648,layer4,136,Black and white colored objects,False
649,layer4,137,Words,True
650,layer4,138,Dog heads,False
651,layer4,139,Words,True
652,layer4,140,Numbers and letters,True
653,layer4,141,Words,True
654,layer4,142,The area under a object,False
655,layer4,143,Words,True
656,layer4,144,Numbers and letters,True
657,layer4,145,Dog faces,False
658,layer4,146,Red objects,False
659,layer4,147,"Person, animal",False
660,layer4,148,Black and white objects,False
661,layer4,149,Signs,False
662,layer4,150,The top of a building or sign,False
663,layer4,151,Words,True
664,layer4,152,Faces of human beings,False
665,layer4,153,Signs,False
666,layer4,154,Signs,False
667,layer4,155,Blue and white areas,False
668,layer4,156,Sign boards with text in it,True
669,layer4,157,Signs,False
670,layer4,158,Words,True
671,layer4,159,Words,True
672,layer4,160,Rounded edges in pictures,False
673,layer4,161,Words,True
674,layer4,162,The ground,False
675,layer4,163,Words,True
676,layer4,164,Numbers and letters,True
677,layer4,165,Sign boards with text in it,True
678,layer4,166,Words,True
679,layer4,167,Black and white colored objects,False
680,layer4,168,"People, signs, signs, signs, signs, signs, signs, signs",False
681,layer4,169,The tops of buildings,False
682,layer4,170,Words,True
683,layer4,171,Words,True
684,layer4,172,Signs,False
685,layer4,173,Green colored objects,False
686,layer4,174,Rectangular shaped objects,False
687,layer4,175,Electronics,False
688,layer4,176,Signs,False
689,layer4,177,Vertical lines,False
690,layer4,178,Words,True
691,layer4,179,Signs,False
692,layer4,180,Words,True
693,layer4,181,Signs,False
694,layer4,182,Sign boards with text in it,True
695,layer4,183,Signs,False
696,layer4,184,Horizontal lines,False
697,layer4,185,Words,True
698,layer4,186,Words,True
699,layer4,187,Round objects,False
700,layer4,188,Words,True
701,layer4,189,Signs,False
702,layer4,190,Words,True
703,layer4,191,Words,True
704,layer4,192,Words,True
705,layer4,193,People,False
706,layer4,194,Dog heads,False
707,layer4,195,Words,True
708,layer4,196,Words,True
709,layer4,197,Black and white objects,False
710,layer4,198,Dog heads,False
711,layer4,199,Words,True
712,layer4,200,People,False
713,layer4,201,A sign,False
714,layer4,202,Signs,False
715,layer4,203,Signs,False
716,layer4,204,Signs,False
717,layer4,205,Words,True
718,layer4,206,Text,True
719,layer4,207,"Person, animal",False
720,layer4,208,Sharks,False
721,layer4,209,Red and white colored objects,False
722,layer4,210,Signs,False
723,layer4,211,Words,True
724,layer4,212,Words,True
725,layer4,213,The area above a object,False
726,layer4,214,Red telephone booths,False
727,layer4,215,Words,True
728,layer4,216,Black and white objects,False
729,layer4,217,Words,True
730,layer4,218,Horizontal lines,False
731,layer4,219,Numbers and letters,True
732,layer4,220,Words,True
733,layer4,221,Signs,False
734,layer4,222,People 's heads,False
735,layer4,223,Black and white colored objects,False
736,layer4,224,Words,True
737,layer4,225,Words,True
738,layer4,226,Black and white objects,False
739,layer4,227,Words,True
740,layer4,228,Words,True
741,layer4,229,Signs,False
742,layer4,230,Numbers and letters,True
743,layer4,231,Green colored objects,False
744,layer4,232,Black and white colored objects,False
745,layer4,233,People and signs,False
746,layer4,234,The white background,False
747,layer4,235,Words,True
748,layer4,236,Dog faces,False
749,layer4,237,Words,True
750,layer4,238,Words,True
751,layer4,239,Signs,False
752,layer4,240,Signs,False
753,layer4,241,Words,True
754,layer4,242,Numbers and letters,True
755,layer4,243,Words,True
756,layer4,244,Words,True
757,layer4,245,Words,True
758,layer4,246,The outline of the object,False
759,layer4,247,Electronics,False
760,layer4,248,Words,True
761,layer4,249,Text,True
762,layer4,250,Words,True
763,layer4,251,Numbers and letters,True
764,layer4,252,Words,True
765,layer4,253,Numbers and letters,True
766,layer4,254,Numbers and letters,True
767,layer4,255,The top of a building or sign,False
768,layer4,256,Words,True
769,layer4,257,Words,True
770,layer4,258,Blue sky and white objects,False
771,layer4,259,Vehicles,False
772,layer4,260,Round objects,False
773,layer4,261,Black and white colored objects,False
774,layer4,262,Signs,False
775,layer4,263,Black and white objects,False
776,layer4,264,Words,True
777,layer4,265,Words,True
778,layer4,266,Words,True
779,layer4,267,Words,True
780,layer4,268,Green grass,False
781,layer4,269,Signs,False
782,layer4,270,Words,True
783,layer4,271,Words,True
784,layer4,272,Words,True
785,layer4,273,Words,True
786,layer4,274,Numbers and letters,True
787,layer4,275,The ground,False
788,layer4,276,Words,True
789,layer4,277,Black and white colored objects,False
790,layer4,278,Words,True
791,layer4,279,The top of a building or sign,False
792,layer4,280,Words,True
793,layer4,281,Signs,False
794,layer4,282,Words,True
795,layer4,283,Black and white colored objects,False
796,layer4,284,Black and white objects,False
797,layer4,285,Black and white colored objects,False
798,layer4,286,Words,True
799,layer4,287,Words,True
800,layer4,288,Words,True
801,layer4,289,Horizontal lines,False
802,layer4,290,Signs,False
803,layer4,291,Words,True
804,layer4,292,Black and white colored objects,False
805,layer4,293,Numbers and letters,True
806,layer4,294,Dog faces,False
807,layer4,295,Words,True
808,layer4,296,Words,True
809,layer4,297,The top of a building or sign,False
810,layer4,298,Words,True
811,layer4,299,Words,True
812,layer4,300,Dog heads,False
813,layer4,301,Signs,False
814,layer4,302,A sign,False
815,layer4,303,Black and white objects,False
816,layer4,304,Horizontal lines,False
817,layer4,305,Signs,False
818,layer4,306,Signs,False
819,layer4,307,The ground,False
820,layer4,308,Numbers and letters,True
821,layer4,309,Red colored object with text,True
822,layer4,310,Words and letters,True
823,layer4,311,Words,True
824,layer4,312,Faces of vehicles,False
825,layer4,313,Black and white objects,False
826,layer4,314,Words,True
827,layer4,315,Numbers and letters,True
828,layer4,316,Dog faces,False
829,layer4,317,Signs,False
830,layer4,318,Words,True
831,layer4,319,Signs,False
832,layer4,320,Pink colored objects,False
833,layer4,321,Words,True
834,layer4,322,Signs,False
835,layer4,323,Words,True
836,layer4,324,Red telephone booths,False
837,layer4,325,Words,True
838,layer4,326,The tops of buildings,False
839,layer4,327,Electronics,False
840,layer4,328,Words,True
841,layer4,329,Horizontal lines,False
842,layer4,330,Words,True
843,layer4,331,Signs,False
844,layer4,332,Words,True
845,layer4,333,Words,True
846,layer4,334,Numbers and letters,True
847,layer4,335,"Person, animal",False
848,layer4,336,Black and white colored objects,False
849,layer4,337,Words,True
850,layer4,338,Stripes,False
851,layer4,339,Words,True
852,layer4,340,Words,True
853,layer4,341,Signs,False
854,layer4,342,Words,True
855,layer4,343,Words,True
856,layer4,344,Text,True
857,layer4,345,The top of buildings,False
858,layer4,346,Words,True
859,layer4,347,Words,True
860,layer4,348,Horizontal lines,False
861,layer4,349,Words,True
862,layer4,350,Words,True
863,layer4,351,Black and white colored objects,False
864,layer4,352,Round objects,False
865,layer4,353,Words,True
866,layer4,354,Rounded objects,False
867,layer4,355,Signs,False
868,layer4,356,Black and white colored objects,False
869,layer4,357,Faces of human beings,False
870,layer4,358,Words,True
871,layer4,359,Words,True
872,layer4,360,Black and white objects,False
873,layer4,361,Words,True
874,layer4,362,Text,True
875,layer4,363,Words,True
876,layer4,364,Words,True
877,layer4,365,Words,True
878,layer4,366,Electronics,False
879,layer4,367,Words,True
880,layer4,368,Words,True
881,layer4,369,Numbers and letters,True
882,layer4,370,Words and signs,True
883,layer4,371,The top of buildings,False
884,layer4,372,Horizontal lines,False
885,layer4,373,Words,True
886,layer4,374,Dog faces,False
887,layer4,375,Red objects,False
888,layer4,376,Signs,False
889,layer4,377,Words,True
890,layer4,378,Dog faces,False
891,layer4,379,Words,True
892,layer4,380,Dog heads,False
893,layer4,381,Words,True
894,layer4,382,Words,True
895,layer4,383,Signs,False
896,layer4,384,Words,True
897,layer4,385,Sign boards with text in it,True
